Player,Position,Age,Team,2025 AAV,Free Agent Type,2024 Salary
,,Juan Soto QO,RF,15,"$765,000,000","$51,000,000"
,,Max Fried QO,SP/SP1,8,"$218,000,000","$27,250,000"
,,Corbin Burnes QO,SP/SP1,6,"$210,000,000","$35,000,000"
,,Blake Snell,SP,5,"$182,000,000","$36,400,000"
,,Willy Adames QO,SS,7,"$182,000,000","$26,000,000"
,,Alex Bregman QO,3B,3,"$120,000,000","$40,000,000"
,,Anthony Santander QO,RF,5,"$92,500,000","$18,500,000"
,,Sean Manaea QO,SP,3,"$75,000,000","$25,000,000"
,,Nathan Eovaldi,SP/SP1,3,"$75,000,000","$25,000,000"
,,Tanner Scott,RP/CL,4,"$72,000,000","$18,000,000"
,,Luis Severino QO,SP/SP3,3,"$67,000,000","$22,333,333"
,,Teoscar Hernandez QO,LF/RF,3,"$66,000,000","$22,000,000"
,,Yusei Kikuchi,SP,3,"$63,675,000","$21,225,000"
,,Christian Walker QO,1B,3,"$60,000,000","$20,000,000"
,,Nick Pivetta QO,SP,4,"$55,000,000","$13,750,000"
,,Pete Alonso QO,1B,2,"$54,000,000","$27,000,000"
,,Tyler O'Neill,LF,3,"$49,500,000","$16,500,000"
,,Jurickson Profar,LF,3,"$42,000,000","$14,000,000"
,,Clay Holmes,SP/RP,3,"$38,000,000","$12,666,667"
,,Joc Pederson,DH,2,"$37,000,000","$18,500,000"
,,Jack Flaherty,SP/SP2,2,"$35,000,000","$17,500,000"
,,Frankie Montas,SP,2,"$34,000,000","$17,000,000"
,,Jeff Hoffman,RP,3,"$33,000,000","$11,000,000"
,,Matt Boyd,SP,2,"$29,000,000","$14,500,000"
,,Ha-seong Kim,2B/SS,2,"$29,000,000","$14,500,000"
,,Shane Bieber,SP/SP1,2,"$26,000,000","$13,000,000"
,,Carlos Estevez,RP/CL,2,"$22,200,000","$11,100,000"
,,Blake Treinen,RP,2,"$22,000,000","$11,000,000"
,,A.J. Minter,RP/SU8,2,"$22,000,000","$11,000,000"
,,Nick Martinez QO,SP,1,"$21,050,000","$21,050,000"
,,Walker Buehler,SP/SP1,1,"$21,050,000","$21,050,000"
,,Patrick Sandoval,SP/SP3,2,"$18,250,000","$9,125,000"
,,Michael Conforto,LF,1,"$17,000,000","$17,000,000"
,,Max Scherzer,SP/SP2,1,"$15,500,000","$15,500,000"
,,Yimi Garcia,RP/SU7,2,"$15,000,000","$7,500,000"
,,Justin Verlander,SP/SP1,1,"$15,000,000","$15,000,000"
,,Alex Cobb,SP/SP4,1,"$15,000,000","$15,000,000"
,,Charlie Morton,SP/SP2,1,"$15,000,000","$15,000,000"
,,Gleyber Torres,2B,1,"$15,000,000","$15,000,000"
,,Trevor Williams,SP,2,"$14,000,000","$7,000,000"
,,Kyle Higashioka,C,2,"$13,500,000","$6,750,000"
,,Tomoyuki Sugano,SP,1,"$13,000,000","$13,000,000"
,,Kirby Yates,RP,1,"$13,000,000","$13,000,000"
,,Hyeseong Kim,2B,3,"$12,500,000","$4,166,667"
,,Paul Goldschmidt,1B,1,"$12,500,000","$12,500,000"
,,Carlos Santana,1B/DH,1,"$12,000,000","$12,000,000"
,,Travis d'Arnaud,C,2,"$12,000,000","$6,000,000"
,,Carson Kelly,C,2,"$11,500,000","$5,750,000"
,,Aroldis Chapman,RP,1,"$10,750,000","$10,750,000"
,,Kenley Jansen,RP/CL,1,"$10,000,000","$10,000,000"
,,Andrew Kittredge,RP,1,"$10,000,000","$10,000,000"
,,Jose Leclerc,RP,1,"$10,000,000","$10,000,000"
,,Max Kepler,RF,1,"$10,000,000","$10,000,000"
,,Michael Soroka,SP,1,"$9,000,000","$9,000,000"
,,Gary Sánchez,DH/C,1,"$8,500,000","$8,500,000"
,,Jordan Romano,RP/CL,1,"$8,500,000","$8,500,000"
,,Danny Jansen,C,1,"$8,500,000","$8,500,000"
,,Tommy Kahnle,RP,1,"$7,750,000","$7,750,000"
,,Jorge Polanco,2B,1,"$7,750,000","$7,750,000"
